COUNTRY,ADMIN1,ADMIN2,CITYID,YEAR,DEPOP,POP,GRDP,RTL_CMP,FDAC_CMP,EMP,HT_CMP,GRAD,ELMTRY,WLT_CMP,ENT_CMP,BED
한국,인천광역시,강화군,KR04017,2010,0,67104,1007548,211,211,9970,33,689,3098,107,32,661
한국,인천광역시,옹진군,KR04018,2010,0,18739,517216,61,61,2143,2,52,736,15,8,72
한국,광주광역시,동구,KR05001,2010,1,104449,2634954,1310,1310,45961,467,1923,5817,323,151,6619
한국,광주광역시,서구,KR05002,2010,1,303219,6161934,2721,2721,95468,435,2383,24459,720,291,3542
한국,광주광역시,남구,KR05003,2010,1,216863,2248309,881,881,36995,103,6267,14861,493,159,4409
한국,광주광역시,북구,KR05004,2010,1,466866,7278168,3397,3397,109888,420,6270,35113,1012,548,22347
한국,광주광역시,광산구,KR05005,2010,0,363239,9558946,2259,2259,101582,146,4400,35577,875,271,5738
한국,대전광역시,동구,KR06006,2010,1,248835,2470436,1450,1450,46237,98,3303,14467,563,139,5899
한국,대전광역시,중구,KR06007,2010,1,265846,4338350,1834,1834,60976,189,5152,17756,672,164,6686
한국,대전광역시,서구,KR06008,2010,1,499742,9274016,2846,2846,112418,769,5997,37092,1337,424,5538
한국,대전광역시,유성구,KR06009,2010,0,281692,6941939,1795,1795,87536,469,4835,24083,673,230,3773
한국,대전광역시,대덕구,KR06010,2010,1,207549,8265459,1988,1988,67302,95,1603,15615,426,121,2068
한국,울산광역시,중구,KR07001,2010,1,232915,2457066,1158,1158,27018,148,2877,15192,371,128,2044
한국,울산광역시,남구,KR07002,2010,1,344131,17067210,3107,3107,131308,652,6506,23708,811,325,4262
한국,울산광역시,동구,KR07003,2010,1,170764,4856334,656,656,58535,33,3029,11282,295,120,2267
한국,울산광역시,북구,KR07004,2010,0,177488,10725224,897,897,71161,105,2597,14919,311,90,1592
한국,울산광역시,울주군,KR07005,2010,0,201000,11792444,774,774,65679,44,2136,16577,328,92,2405
한국,세종특별자치시,세종특별자치시,KR08001,2010,0,81871,2452766,374,374,20852,41,659,4989,153,50,372
한국,경기도,수원시,KR09001,2010,0,1077535,22051284,5839,5839,262197,1398,16977,80152,2291,753,25873
한국,경기도,성남시,KR09002,2010,1,980190,22908827,6021,6021,257717,1287,13314,61069,1951,779,11548
한국,경기도,의정부시,KR09003,2010,0,431801,4465522,2211,2211,69877,420,6026,30522,1068,343,2670
한국,경기도,안양시,KR09004,2010,1,621714,12659511,5707,5707,175953,1084,10449,42082,1250,492,4597
한국,경기도,부천시,KR09005,2010,1,875204,13095408,4811,4811,202875,732,12794,56519,1623,629,10256
한국,경기도,광명시,KR09006,2010,1,343982,5953996,1967,1967,56398,116,4039,22495,652,207,1722
한국,경기도,평택시,KR09007,2010,0,419457,19325806,2581,2581,136572,338,5251,32113,743,288,10155
한국,경기도,동두천시,KR09008,2010,1,95653,1345823,417,417,16596,30,1243,6471,238,53,2320
