CNTRY,admin1,admin2,CITYID,bed10,bed20,pop10,pop20,rate
대한민국,경기,동두천시,KR09008,,2135 ,94353 ,95653 ,1.38%
대한민국,경기,안산시,KR09009,,7339 ,654915 ,714891 ,9.16%
대한민국,경기,고양시,KR09010,,11024 ,1079216 ,950115 ,-11.96%
대한민국,경기,과천시,KR09011,,0 ,63231 ,72279 ,14.31%
대한민국,경기,구리시,KR09012,,2201 ,197454 ,196398 ,-0.53%
대한민국,경기,남양주시,KR09013,,5397 ,713321 ,564141 ,-20.91%
대한민국,경기,오산시,KR09014,,2300 ,229725 ,182516 ,-20.55%
대한민국,경기,시흥시,KR09015,,3752 ,500895 ,403797 ,-19.38%
대한민국,경기,군포시,KR09016,,2116 ,273791 ,287833 ,5.13%
대한민국,경기,의왕시,KR09017,,992 ,163795 ,147443 ,-9.98%
대한민국,경기,하남시,KR09018,,1711 ,293452 ,150479 ,-48.72%
대한민국,경기,용인시,KR09019,,7486 ,1074176 ,876550 ,-18.40%
대한민국,경기,파주시,KR09020,,4535 ,465617 ,355632 ,-23.62%
대한민국,경기,이천시,KR09021,,1816 ,218388 ,202595 ,-7.23%
대한민국,경기,안성시,KR09022,,1822 ,187012 ,177937 ,-4.85%
대한민국,경기,김포시,KR09023,,2967 ,473970 ,238339 ,-49.71%
대한민국,경기,화성시,KR09024,,4371 ,855248 ,505838 ,-40.85%
대한민국,경기,광주시,KR09025,,1926 ,382054 ,249789 ,-34.62%
대한민국,경기,양주시,KR09026,,2421 ,230359 ,196706 ,-14.61%
대한민국,경기,포천시,KR09027,,1394 ,147274 ,158658 ,7.73%
대한민국,경기,여주시,KR09028,,1551 ,111897 ,109250 ,-2.37%
대한민국,경기,연천군,KR09029,,281 ,43516 ,45177 ,3.82%
대한민국,경기,가평군,KR09030,,614 ,62377 ,58890 ,-5.59%
대한민국,경기,양평군,KR09031,,1303 ,118810 ,95833 ,-19.34%
대한민국,강원,춘천시,KR10001,,3298 ,282765 ,269950 ,-4.53%
대한민국,강원,원주시,KR10002,,4104 ,354376 ,314678 ,-11.20%
대한민국,강원,강릉시,KR10003,,1881 ,213321 ,218503 ,2.43%
대한민국,강원,동해시,KR10004,,1226 ,90593 ,95236 ,5.13%
대한민국,강원,태백시,KR10005,,487 ,42719 ,50864 ,19.07%
대한민국,강원,속초시,KR10006,,818 ,82665 ,84302 ,1.98%
대한민국,강원,삼척시,KR10007,,396 ,65243 ,72046 ,10.43%
대한민국,강원,홍천군,KR10008,,687 ,69242 ,69893 ,0.94%
대한민국,강원,횡성군,KR10009,,199 ,46472 ,44254 ,-4.77%
대한민국,강원,영월군,KR10010,,320 ,38662 ,40407 ,4.51%
대한민국,강원,평창군,KR10011,,176 ,41681 ,43622 ,4.66%
대한민국,강원,정선군,KR10012,,190 ,36870 ,41045 ,11.32%
대한민국,강원,철원군,KR10013,,343 ,44699 ,48928 ,9.46%
대한민국,강원,화천군,KR10014,,26 ,24857 ,24364 ,-1.98%
대한민국,강원,양구군,KR10015,,163 ,22278 ,21843 ,-1.95%
대한민국,강원,인제군,KR10016,,138 ,31694 ,31842 ,0.47%
대한민국,강원,고성군,KR10017,,0 ,26757 ,30112 ,12.54%
대한민국,강원,양양군,KR10018,,0 ,27946 ,27929 ,-0.06%
대한민국,충북,청주시,KR11001,,8813 ,808915 ,844993 ,4.46%
대한민국,충북,충주시,KR11002,,2340 ,210186 ,208481 ,-0.81%
대한민국,충북,제천시,KR11003,,1920 ,133018 ,137264 ,3.19%
대한민국,충북,보은군,KR11004,,599 ,32412 ,34956 ,7.85%
대한민국,충북,옥천군,KR11005,,698 ,50527 ,54025 ,6.92%
대한민국,충북,영동군,KR11006,,719 ,47475 ,50523 ,6.42%
대한민국,충북,증평군,KR11007,,244 ,36807 ,33533 ,-8.90%
대한민국,충북,진천군,KR11008,,730 ,83718 ,62094 ,-25.83%
대한민국,충북,괴산군,KR11009,,291 ,39393 ,36827 ,-6.51%
대한민국,충북,음성군,KR11010,,778 ,93153 ,91093 ,-2.21%
대한민국,충북,단양군,KR11011,,194 ,29155 ,31817 ,9.13%
대한민국,충남,천안시,KR12001,,7900 ,658808 ,557673 ,-15.35%
대한민국,충남,공주시,KR12002,,3428 ,104545 ,124930 ,19.50%
대한민국,충남,보령시,KR12003,,764 ,100229 ,107346 ,7.10%
대한민국,충남,아산시,KR12004,,2572 ,316129 ,265191 ,-16.11%
대한민국,충남,서산시,KR12005,,979 ,175591 ,160468 ,-8.61%
대한민국,충남,논산시,KR12006,,2497 ,116675 ,127507 ,9.28%
대한민국,충남,계룡시,KR12007,,277 ,42822 ,43088 ,0.62%
대한민국,충남,당진시,KR12008,,1276 ,166249 ,144903 ,-12.84%
대한민국,충남,금산군,KR12009,,606 ,51413 ,56555 ,10.00%
대한민국,충남,부여군,KR12010,,810 ,65354 ,75029 ,14.80%
대한민국,충남,서천군,KR12011,,998 ,51866 ,60085 ,15.85%
대한민국,충남,청양군,KR12012,,207 ,30948 ,32541 ,5.15%
대한민국,충남,홍성군,KR12013,,1120 ,100102 ,88078 ,-12.01%
대한민국,충남,예산군,KR12014,,366 ,78084 ,87002 ,11.42%
대한민국,충남,태안군,KR12015,,352 ,62214 ,63247 ,1.66%
대한민국,전북,전주시,KR13001,,14849 ,657432 ,641525 ,-2.42%
대한민국,전북,군산시,KR13002,,4232 ,267859 ,272601 ,1.77%
대한민국,전북,익산시,KR13003,,4726 ,282276 ,307289 ,8.86%
대한민국,전북,정읍시,KR13004,,2021 ,108508 ,122000 ,12.43%
대한민국,전북,남원시,KR13005,,1312 ,80662 ,87775 ,8.82%
대한민국,전북,김제시,KR13006,,2041 ,82450 ,94346 ,14.43%
대한민국,전북,완주군,KR13007,,1224 ,91609 ,85119 ,-7.08%
대한민국,전북,진안군,KR13008,,283 ,25394 ,27543 ,8.46%
대한민국,전북,무주군,KR13009,,0 ,24036 ,25578 ,6.42%
대한민국,전북,장수군,KR13010,,8 ,22085 ,23386 ,5.89%
대한민국,전북,임실군,KR13011,,328 ,27314 ,30593 ,12.00%
대한민국,전북,순창군,KR13012,,630 ,27810 ,30209 ,8.63%
대한민국,전북,고창군,KR13013,,1068 ,54529 ,60861 ,11.61%
대한민국,전북,부안군,KR13014,,999 ,52140 ,60138 ,15.34%
대한민국,전남,목포시,KR14001,,6372 ,224044 ,245422 ,9.54%
대한민국,전남,여수시,KR14002,,4546 ,280242 ,293488 ,4.73%
대한민국,전남,순천시,KR14003,,5349 ,282189 ,272620 ,-3.39%
대한민국,전남,나주시,KR14004,,3096 ,115613 ,90118 ,-22.05%
대한민국,전남,광양시,KR14005,,1402 ,151769 ,145512 ,-4.12%
대한민국,전남,담양군,KR14006,,1189 ,46280 ,47808 ,3.30%
대한민국,전남,곡성군,KR14007,,196 ,28039 ,31886 ,13.72%
대한민국,전남,구례군,KR14008,,635 ,25719 ,27375 ,6.44%
대한민국,전남,고흥군,KR14009,,744 ,63922 ,73924 ,15.65%
대한민국,전남,보성군,KR14010,,1075 ,40482 ,48792 ,20.53%
대한민국,전남,화순군,KR14011,,3603 ,62522 ,69368 ,10.95%
대한민국,전남,장흥군,KR14012,,559 ,37800 ,42394 ,12.15%
대한민국,전남,강진군,KR14013,,451 ,34597 ,41624 ,20.31%
대한민국,전남,해남군,KR14014,,1173 ,68806 ,79579 ,15.66%
대한민국,전남,영암군,KR14015,,763 ,53699 ,60082 ,11.89%
대한민국,전남,무안군,KR14016,,1069 ,86132 ,74475 ,-13.53%
대한민국,전남,함평군,KR14017,,454 ,32050 ,36702 ,14.51%
대한민국,전남,영광군,KR14018,,768 ,53099 ,57362 ,8.03%
대한민국,전남,장성군,KR14019,,603 ,44464 ,46514 ,4.61%
대한민국,전남,완도군,KR14020,,122 ,49916 ,54269 ,8.72%
대한민국,전남,진도군,KR14021,,201 ,31227 ,33743 ,8.06%
대한민국,전남,신안군,KR14022,,381 ,38938 ,45428 ,16.67%
대한민국,경북,포항시,KR15001,,8899 ,502916 ,514755 ,2.35%
대한민국,경북,경주시,KR15002,,3808 ,253502 ,267098 ,5.36%
대한민국,경북,김천시,KR15003,,1433 ,140548 ,136136 ,-3.14%
대한민국,경북,안동시,KR15004,,4078 ,158907 ,167886 ,5.65%
대한민국,경북,구미시,KR15005,,3378 ,416328 ,404920 ,-2.74%
대한민국,경북,영주시,KR15006,,1887 ,103119 ,113926 ,10.48%
대한민국,경북,영천시,KR15007,,1129 ,102015 ,103190 ,1.15%
대한민국,경북,상주시,KR15008,,1050 ,97228 ,105607 ,8.62%
대한민국,경북,문경시,KR15009,,909 ,71406 ,77391 ,8.38%
대한민국,경북,경산시,KR15010,,2979 ,263728 ,240708 ,-8.73%
대한민국,경북,군위군,KR15011,,10 ,23256 ,24736 ,6.36%
대한민국,경북,의성군,KR15012,,1313 ,51724 ,58832 ,13.74%
대한민국,경북,청송군,KR15013,,55 ,25044 ,26715 ,6.67%
대한민국,경북,영양군,KR15014,,50 ,16692 ,18451 ,10.54%
대한민국,경북,영덕군,KR15015,,281 ,36313 ,41377 ,13.95%
대한민국,경북,청도군,KR15016,,903 ,42263 ,44391 ,5.04%
대한민국,경북,고령군,KR15017,,286 ,31361 ,34678 ,10.58%
대한민국,경북,성주군,KR15018,,852 ,43414 ,45289 ,4.32%
대한민국,경북,칠곡군,KR15019,,1111 ,114758 ,119087 ,3.77%
