CNTRY,admin1,admin2,stdnt10,stdnt20,pop10,pop20,rate
한국,경기도,양평군,4865,5086,95833,118810,23.98%
한국,강원특별자치도,춘천시,18649,14913,269950,282765,4.75%
한국,강원특별자치도,원주시,22980,19691,314678,354376,12.62%
한국,강원특별자치도,강릉시,14443,9771,218503,213321,-2.37%
한국,강원특별자치도,동해시,6725,4913,95236,90593,-4.88%
한국,강원특별자치도,태백시,3030,2100,50864,42719,-16.01%
한국,강원특별자치도,속초시,6175,3832,84302,82665,-1.94%
한국,강원특별자치도,삼척시,4033,2667,72046,65243,-9.44%
한국,강원특별자치도,홍천군,4138,2626,69893,69242,-0.93%
한국,강원특별자치도,횡성군,2120,1578,44254,46472,5.01%
한국,강원특별자치도,영월군,1984,1213,40407,38662,-4.32%
한국,강원특별자치도,평창군,2467,1448,43622,41681,-4.45%
한국,강원특별자치도,정선군,2086,1366,41045,36870,-10.17%
한국,강원특별자치도,철원군,3210,1996,48928,44699,-8.64%
한국,강원특별자치도,화천군,1452,1022,24364,24857,2.02%
한국,강원특별자치도,양구군,1377,1029,21843,22278,1.99%
한국,강원특별자치도,인제군,2043,1461,31842,31694,-0.46%
한국,강원특별자치도,고성군,1460,938,30112,26757,-11.14%
한국,강원특별자치도,양양군,1425,914,27929,27946,0.06%
한국,충청북도,충주시,13742,10311,208481,210186,0.82%
한국,충청북도,제천시,8719,6228,137264,133018,-3.09%
한국,충청북도,통합청주시,59834,50284,808915,844993,4.46%
한국,충청북도,보은군,1678,1067,34956,32412,-7.28%
한국,충청북도,옥천군,2934,2046,54025,50527,-6.47%
한국,충청북도,영동군,2540,1623,50523,47475,-6.03%
한국,충청북도,진천군,4337,5170,62094,83718,34.82%
한국,충청북도,괴산군,1519,1007,36827,39393,6.97%
한국,충청북도,음성군,5846,4353,91093,93153,2.26%
한국,충청북도,단양군,1604,925,31817,29155,-8.37%
한국,충청북도,증평군,2273,2121,33533,36807,9.76%
한국,충청남도,천안시,43293,41731,557673,658808,18.14%
한국,충청남도,공주시,7234,4312,124930,104545,-16.32%
한국,충청남도,보령시,6501,4472,107346,100229,-6.63%
한국,충청남도,아산시,19601,22616,265191,316129,19.21%
한국,충청남도,서산시,12162,10336,160468,175591,9.42%
한국,충청남도,논산시,7655,5374,127507,116675,-8.50%
한국,충청남도,계룡시,4204,2949,43088,42822,-0.62%
한국,충청남도,당진시,8738,10530,144903,166249,14.73%
한국,충청남도,금산군,2894,2110,56555,51413,-9.09%
한국,충청남도,부여군,3854,2225,75029,65354,-12.90%
한국,충청남도,서천군,2955,1735,60085,51866,-13.68%
한국,충청남도,청양군,1444,957,32541,30948,-4.90%
한국,충청남도,홍성군,5277,5628,88078,100102,13.65%
한국,충청남도,예산군,4482,2855,87002,78084,-10.25%
한국,충청남도,태안군,3121,2285,63247,62214,-1.63%
한국,전북특별자치도,전주시,50572,39321,641525,657432,2.48%
한국,전북특별자치도,군산시,19168,15515,272601,267859,-1.74%
한국,전북특별자치도,익산시,21543,14602,307289,282276,-8.14%
한국,전북특별자치도,정읍시,7806,4871,122000,108508,-11.06%
한국,전북특별자치도,남원시,5740,3696,87775,80662,-8.10%
한국,전북특별자치도,김제시,4633,3423,94346,82450,-12.61%
한국,전북특별자치도,완주군,5355,4718,85119,91609,7.62%
한국,전북특별자치도,진안군,1084,843,27543,25394,-7.80%
한국,전북특별자치도,무주군,1190,935,25578,24036,-6.03%
한국,전북특별자치도,장수군,1030,914,23386,22085,-5.56%
한국,전북특별자치도,임실군,1256,952,30593,27314,-10.72%
한국,전북특별자치도,순창군,1444,1025,30209,27810,-7.94%
한국,전북특별자치도,고창군,2985,2018,60861,54529,-10.40%
한국,전북특별자치도,부안군,3063,1828,60138,52140,-13.30%
한국,전라남도,목포시,20696,15553,245422,224044,-8.71%
한국,전라남도,여수시,20835,14424,293488,280242,-4.51%
한국,전라남도,순천시,21616,16649,272620,282189,3.51%
한국,전라남도,나주시,4638,6058,90118,115613,28.29%
한국,전라남도,광양시,11876,9221,145512,151769,4.30%
한국,전라남도,담양군,1886,1425,47808,46280,-3.20%
한국,전라남도,곡성군,1450,883,31886,28039,-12.06%
한국,전라남도,구례군,1347,908,27375,25719,-6.05%
한국,전라남도,고흥군,3229,1800,73924,63922,-13.53%
한국,전라남도,보성군,2157,1245,48792,40482,-17.03%
한국,전라남도,화순군,4835,2649,69368,62522,-9.87%
한국,전라남도,장흥군,2265,1397,42394,37800,-10.84%
한국,전라남도,강진군,1958,1259,41624,34597,-16.88%
한국,전라남도,해남군,4349,2684,79579,68806,-13.54%
한국,전라남도,영암군,3726,2474,60082,53699,-10.62%
한국,전라남도,무안군,4020,4648,74475,86132,15.65%
한국,전라남도,함평군,1585,976,36702,32050,-12.68%
한국,전라남도,영광군,3168,2175,57362,53099,-7.43%
한국,전라남도,장성군,2332,1856,46514,44464,-4.41%
한국,전라남도,완도군,2818,2034,54269,49916,-8.02%
한국,전라남도,진도군,1749,1124,33743,31227,-7.46%
한국,전라남도,신안군,1377,963,45428,38938,-14.29%
한국,경상북도,포항시,33562,27554,514755,502916,-2.30%
한국,경상북도,경주시,16646,11482,267098,253502,-5.09%
한국,경상북도,김천시,7637,6776,136136,140548,3.24%
한국,경상북도,안동시,9742,8267,167886,158907,-5.35%
한국,경상북도,구미시,33862,27922,404920,416328,2.82%
한국,경상북도,영주시,6874,4743,113926,103119,-9.49%
한국,경상북도,영천시,5026,3458,103190,102015,-1.14%
