CNTRY,admin1,admin2,CITYID,grad10,grad20,pop10,pop20,rate
일본,Hokkaido,Kamisunagawa-cho,JP01075,110,132,4086,2841,-30.47%
일본,Hokkaido,Yuni-cho,JP01076,284,341,5896,4822,-18.22%
일본,Hokkaido,Naganuma-cho,JP01077,794,976,11691,10289,-11.99%
일본,Hokkaido,Kuriyama-cho,JP01078,836,946,13340,11272,-15.50%
일본,Hokkaido,Tsukigata-cho,JP01079,265,290,4859,3691,-24.04%
일본,Hokkaido,Urausu-cho,JP01080,99,108,2206,1732,-21.49%
일본,Hokkaido,Shintotsukawa-cho,JP01081,371,483,7249,6484,-10.55%
일본,Hokkaido,Moseushi-cho,JP01082,127,150,3462,2693,-22.21%
일본,Hokkaido,Chippubetsu-cho,JP01083,140,152,2730,2329,-14.69%
일본,Hokkaido,Uryu-cho,JP01084,135,126,3049,2389,-21.65%
일본,Hokkaido,Hokuryu-cho,JP01085,96,124,2193,1724,-21.39%
일본,Hokkaido,Numata-cho,JP01086,207,256,3612,2909,-19.46%
일본,Hokkaido,Takasu-cho,JP01087,449,550,7345,6567,-10.59%
일본,Hokkaido,Higashikagura-cho,JP01088,723,"1,055",9292,10127,8.99%
일본,Hokkaido,Tohma-cho,JP01089,343,459,7087,6319,-10.84%
일본,Hokkaido,Pippu-cho,JP01090,199,279,4042,3520,-12.91%
일본,Hokkaido,Aibetsu-cho,JP01091,174,164,3328,2605,-21.72%
일본,Hokkaido,Kamikawa-cho,JP01092,305,353,4532,3500,-22.77%
일본,Hokkaido,Higashikawa-cho,JP01093,573,"1,017",7859,8314,5.79%
일본,Hokkaido,Biei-cho,JP01094,711,973,10956,9668,-11.76%
일본,Hokkaido,Kamifurano-cho,JP01095,478,652,11545,10348,-10.37%
일본,Hokkaido,Nakafurano-cho,JP01096,287,335,5477,4733,-13.58%
일본,Hokkaido,Minamifurano-cho,JP01097,186,242,2814,2376,-15.57%
일본,Hokkaido,Shimukappu-mura,JP01098,163,281,1394,1306,-6.31%
