CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
한국,경기도,양평군,14554,37111,95833,118810,23.98%
한국,강원특별자치도,춘천시,60359,123809,269950,282765,4.75%
한국,강원특별자치도,원주시,75500,159634,314678,354376,12.62%
한국,강원특별자치도,강릉시,48874,95536,218503,213321,-2.37%
한국,강원특별자치도,동해시,20963,35883,95236,90593,-4.88%
한국,강원특별자치도,태백시,10907,20959,50864,42719,-16.01%
한국,강원특별자치도,속초시,15901,34220,84302,82665,-1.94%
한국,강원특별자치도,삼척시,14390,31523,72046,65243,-9.44%
한국,강원특별자치도,홍천군,13513,30718,69893,69242,-0.93%
한국,강원특별자치도,횡성군,9313,21877,44254,46472,5.01%
한국,강원특별자치도,영월군,8333,23048,40407,38662,-4.32%
한국,강원특별자치도,평창군,9535,21344,43622,41681,-4.45%
한국,강원특별자치도,정선군,11396,25167,41045,36870,-10.17%
한국,강원특별자치도,철원군,6536,16988,48928,44699,-8.64%
한국,강원특별자치도,화천군,2858,9435,24364,24857,2.02%
한국,강원특별자치도,양구군,3445,9710,21843,22278,1.99%
한국,강원특별자치도,인제군,5204,15121,31842,31694,-0.46%
한국,강원특별자치도,고성군,5534,14935,30112,26757,-11.14%
한국,강원특별자치도,양양군,5810,15076,27929,27946,0.06%
한국,충청북도,충주시,45411,99828,208481,210186,0.82%
한국,충청북도,제천시,30058,58354,137264,133018,-3.09%
한국,충청북도,통합청주시,206708,397627,808915,844993,4.46%
한국,충청북도,보은군,6205,16840,34956,32412,-7.28%
한국,충청북도,옥천군,12628,23754,54025,50527,-6.47%
한국,충청북도,영동군,8010,17080,50523,47475,-6.03%
한국,충청북도,진천군,28604,62413,62094,83718,34.82%
한국,충청북도,괴산군,6959,17854,36827,39393,6.97%
한국,충청북도,음성군,36750,82425,91093,93153,2.26%
한국,충청북도,단양군,8088,15643,31817,29155,-8.37%
한국,충청북도,증평군,7392,16200,33533,36807,9.76%
한국,충청남도,천안시,179941,314811,557673,658808,18.14%
한국,충청남도,공주시,25045,54563,124930,104545,-16.32%
한국,충청남도,보령시,20422,46155,107346,100229,-6.63%
한국,충청남도,아산시,95946,194035,265191,316129,19.21%
한국,충청남도,서산시,37807,80261,160468,175591,9.42%
한국,충청남도,논산시,26238,53949,127507,116675,-8.50%
한국,충청남도,계룡시,4591,10885,43088,42822,-0.62%
한국,충청남도,당진시,36207,96341,144903,166249,14.73%
한국,충청남도,금산군,13786,31688,56555,51413,-9.09%
한국,충청남도,부여군,11439,25142,75029,65354,-12.90%
한국,충청남도,서천군,11876,29177,60085,51866,-13.68%
한국,충청남도,청양군,5319,14083,32541,30948,-4.90%
한국,충청남도,홍성군,17381,42810,88078,100102,13.65%
한국,충청남도,예산군,15925,41790,87002,78084,-10.25%
한국,충청남도,태안군,9795,29120,63247,62214,-1.63%
한국,전북특별자치도,전주시,143430,271729,641525,657432,2.48%
한국,전북특별자치도,군산시,70140,117122,272601,267859,-1.74%
한국,전북특별자치도,익산시,72320,125030,307289,282276,-8.14%
한국,전북특별자치도,정읍시,21584,45390,122000,108508,-11.06%
한국,전북특별자치도,남원시,14940,31593,87775,80662,-8.10%
한국,전북특별자치도,김제시,18711,43659,94346,82450,-12.61%
한국,전북특별자치도,완주군,25253,59182,85119,91609,7.62%
한국,전북특별자치도,진안군,3111,10369,27543,25394,-7.80%
한국,전북특별자치도,무주군,4542,11377,25578,24036,-6.03%
한국,전북특별자치도,장수군,3514,9968,23386,22085,-5.56%
한국,전북특별자치도,임실군,4429,14418,30593,27314,-10.72%
한국,전북특별자치도,순창군,4643,10363,30209,27810,-7.94%
한국,전북특별자치도,고창군,8923,22663,60861,54529,-10.40%
한국,전북특별자치도,부안군,9170,22066,60138,52140,-13.30%
