CNTRY,admin1,admin2,CITYID,ent10,ent20,pop10,pop20,rate
대한민국,경기도,시흥시,KR09015,301,301,403797,500895,24.05%
대한민국,경기도,군포시,KR09016,177,202,287833,273791,-4.88%
대한민국,경기도,의왕시,KR09017,78,106,147443,163795,11.09%
대한민국,경기도,하남시,KR09018,107,211,150479,293452,95.01%
대한민국,경기도,용인시,KR09019,553,644,876550,1074176,22.55%
대한민국,경기도,파주시,KR09020,201,385,355632,465617,30.93%
대한민국,경기도,이천시,KR09021,132,160,202595,218388,7.80%
대한민국,경기도,안성시,KR09022,154,140,177937,187012,5.10%
대한민국,경기도,김포시,KR09023,188,298,238339,473970,98.86%
대한민국,경기도,화성시,KR09024,353,523,505838,855248,69.08%
대한민국,경기도,광주시,KR09025,168,225,249789,382054,52.95%
대한민국,경기도,양주시,KR09026,146,173,196706,230359,17.11%
대한민국,경기도,포천시,KR09027,115,99,158658,147274,-7.18%
대한민국,경기도,여주군,KR09028,72,86,109250,111897,2.42%
대한민국,경기도,연천군,KR09029,29,41,45177,43516,-3.68%
대한민국,경기도,가평군,KR09030,120,119,58890,62377,5.92%
대한민국,경기도,양평군,KR09031,65,107,95833,118810,23.98%
대한민국,강원도,춘천시,KR10001,259,325,269950,282765,4.75%
대한민국,강원도,원주시,KR10002,231,272,314678,354376,12.62%
대한민국,강원도,강릉시,KR10003,169,186,218503,213321,-2.37%
대한민국,강원도,동해시,KR10004,81,52,95236,90593,-4.88%
대한민국,강원도,태백시,KR10005,37,60,50864,42719,-16.01%
대한민국,강원도,속초시,KR10006,52,74,84302,82665,-1.94%
대한민국,강원도,삼척시,KR10007,44,63,72046,65243,-9.44%
대한민국,강원도,홍천군,KR10008,28,44,69893,69242,-0.93%
대한민국,강원도,횡성군,KR10009,33,40,44254,46472,5.01%
대한민국,강원도,영월군,KR10010,56,81,40407,38662,-4.32%
대한민국,강원도,평창군,KR10011,25,47,43622,41681,-4.45%
대한민국,강원도,정선군,KR10012,30,45,41045,36870,-10.17%
대한민국,강원도,철원군,KR10013,48,37,48928,44699,-8.64%
대한민국,강원도,화천군,KR10014,12,33,24364,24857,2.02%
대한민국,강원도,양구군,KR10015,8,17,21843,22278,1.99%
대한민국,강원도,인제군,KR10016,43,36,31842,31694,-0.46%
대한민국,강원도,고성군,KR10017,20,23,30112,26757,-11.14%
대한민국,강원도,양양군,KR10018,14,36,27929,27946,0.06%
대한민국,충청북도,청주시,KR11001,682,553,208481,210186,0.82%
대한민국,충청북도,충주시,KR11002,149,174,137264,133018,-3.09%
대한민국,충청북도,제천시,KR11003,108,117,808915,844993,4.46%
대한민국,충청북도,보은군,KR11004,7,15,34956,32412,-7.28%
대한민국,충청북도,옥천군,KR11005,22,32,54025,50527,-6.47%
대한민국,충청북도,영동군,KR11006,6,19,50523,47475,-6.03%
대한민국,충청북도,진천군,KR11007,43,48,62094,83718,34.82%
대한민국,충청북도,괴산군,KR11008,18,17,36827,39393,6.97%
대한민국,충청북도,음성군,KR11009,37,46,91093,93153,2.26%
대한민국,충청북도,단양군,KR11010,30,41,31817,29155,-8.37%
대한민국,충청북도,증평군,KR11011,24,20,33533,36807,9.76%
대한민국,충청남도,천안시,KR12001,432,504,557673,658808,18.14%
대한민국,충청남도,공주시,KR12002,78,88,124930,104545,-16.32%
대한민국,충청남도,보령시,KR12003,55,63,107346,100229,-6.63%
대한민국,충청남도,아산시,KR12004,124,204,265191,316129,19.21%
대한민국,충청남도,서산시,KR12005,100,106,160468,175591,9.42%
대한민국,충청남도,논산시,KR12006,63,93,127507,116675,-8.50%
대한민국,충청남도,계룡시,KR12007,15,23,43088,42822,-0.62%
대한민국,충청남도,금산군,KR12008,22,29,144903,166249,14.73%
대한민국,충청남도,부여군,KR12009,22,22,56555,51413,-9.09%
대한민국,충청남도,서천군,KR12010,17,42,75029,65354,-12.90%
대한민국,충청남도,청양군,KR12011,16,31,60085,51866,-13.68%
대한민국,충청남도,홍성군,KR12012,41,54,32541,30948,-4.90%
대한민국,충청남도,예산군,KR12013,31,56,88078,100102,13.65%
대한민국,충청남도,태안군,KR12014,38,37,87002,78084,-10.25%
대한민국,충청남도,당진군,KR12015,65,103,63247,62214,-1.63%
대한민국,전라북도,전주시,KR13001,572,599,641525,657432,2.48%
대한민국,전라북도,군산시,KR13002,156,163,272601,267859,-1.74%
대한민국,전라북도,익산시,KR13003,229,184,307289,282276,-8.14%
대한민국,전라북도,정읍시,KR13004,74,86,122000,108508,-11.06%
대한민국,전라북도,남원시,KR13005,40,54,87775,80662,-8.10%
대한민국,전라북도,김제시,KR13006,32,60,94346,82450,-12.61%
대한민국,전라북도,완주군,KR13007,25,60,85119,91609,7.62%
대한민국,전라북도,진안군,KR13008,5,12,27543,25394,-7.80%
대한민국,전라북도,무주군,KR13009,19,14,25578,24036,-6.03%
대한민국,전라북도,장수군,KR13010,15,18,23386,22085,-5.56%
대한민국,전라북도,임실군,KR13011,10,20,30593,27314,-10.72%
대한민국,전라북도,순창군,KR13012,9,23,30209,27810,-7.94%
대한민국,전라북도,고창군,KR13013,25,44,60861,54529,-10.40%
대한민국,전라북도,부안군,KR13014,29,29,60138,52140,-13.30%
대한민국,전라남도,목포시,KR14001,227,199,245422,224044,-8.71%
대한민국,전라남도,여수시,KR14002,158,207,293488,280242,-4.51%
대한민국,전라남도,순천시,KR14003,254,247,272620,282189,3.51%
대한민국,전라남도,나주시,KR14004,43,88,90118,115613,28.29%
대한민국,전라남도,광양시,KR14005,106,108,145512,151769,4.30%
대한민국,전라남도,담양군,KR14006,12,37,47808,46280,-3.20%
대한민국,전라남도,곡성군,KR14007,9,31,31886,28039,-12.06%
대한민국,전라남도,구례군,KR14008,10,18,27375,25719,-6.05%
대한민국,전라남도,고흥군,KR14009,18,36,73924,63922,-13.53%
대한민국,전라남도,보성군,KR14010,14,15,48792,40482,-17.03%
대한민국,전라남도,화순군,KR14011,30,62,69368,62522,-9.87%
대한민국,전라남도,장흥군,KR14012,18,21,42394,37800,-10.84%
대한민국,전라남도,강진군,KR14013,10,28,41624,34597,-16.88%
대한민국,전라남도,해남군,KR14014,31,28,79579,68806,-13.54%
대한민국,전라남도,영암군,KR14015,26,36,60082,53699,-10.62%
대한민국,전라남도,무안군,KR14016,22,55,74475,86132,15.65%
대한민국,전라남도,함평군,KR14017,10,20,36702,32050,-12.68%
대한민국,전라남도,영광군,KR14018,21,20,57362,53099,-7.43%
대한민국,전라남도,장성군,KR14019,17,23,46514,44464,-4.41%
대한민국,전라남도,완도군,KR14020,18,30,54269,49916,-8.02%
대한민국,전라남도,진도군,KR14021,12,39,33743,31227,-7.46%
대한민국,전라남도,신안군,KR14022,9,12,45428,38938,-14.29%
대한민국,경상북도,포항시,KR15001,340,315,514755,502916,-2.30%
대한민국,경상북도,경주시,KR15002,197,162,267098,253502,-5.09%
대한민국,경상북도,김천시,KR15003,56,81,136136,140548,3.24%
대한민국,경상북도,안동시,KR15004,122,110,167886,158907,-5.35%
대한민국,경상북도,구미시,KR15005,224,258,404920,416328,2.82%
대한민국,경상북도,영주시,KR15006,55,54,113926,103119,-9.49%
대한민국,경상북도,영천시,KR15007,38,46,103190,102015,-1.14%
대한민국,경상북도,상주시,KR15008,33,49,105607,97228,-7.93%
대한민국,경상북도,문경시,KR15009,37,36,77391,71406,-7.73%
대한민국,경상북도,경산시,KR15010,171,158,240708,263728,9.56%
대한민국,경상북도,군위군,KR15011,7,20,24736,23256,-5.98%
대한민국,경상북도,의성군,KR15012,9,18,58832,51724,-12.08%
대한민국,경상북도,청송군,KR15013,7,10,26715,25044,-6.25%
대한민국,경상북도,영양군,KR15014,4,5,18451,16692,-9.53%
대한민국,경상북도,영덕군,KR15015,20,17,41377,36313,-12.24%
대한민국,경상북도,청도군,KR15016,9,22,44391,42263,-4.79%
대한민국,경상북도,고령군,KR15017,12,19,34678,31361,-9.57%
대한민국,경상북도,성주군,KR15018,10,20,45289,43414,-4.14%
대한민국,경상북도,칠곡군,KR15019,67,79,119087,114758,-3.64%
대한민국,경상북도,예천군,KR15020,13,21,47049,55613,18.20%
대한민국,경상북도,봉화군,KR15021,25,28,34567,31494,-8.89%
대한민국,경상북도,울진군,KR15022,27,32,52430,48716,-7.08%
대한민국,경상북도,울릉군,KR15023,5,9,10701,9077,-15.18%
대한민국,경상남도,창원시,KR16001,758,672,1090181,1036738,-4.90%
대한민국,경상남도,진주시,KR16002,332,247,335037,348096,3.90%
대한민국,경상남도,통영시,KR16003,99,93,140297,128293,-8.56%
대한민국,경상남도,사천시,KR16004,67,65,114148,111105,-2.67%
대한민국,경상남도,김해시,KR16005,321,353,503348,542338,7.75%
대한민국,경상남도,밀양시,KR16006,40,63,110479,104831,-5.11%
대한민국,경상남도,거제시,KR16007,158,126,228355,245754,7.62%
대한민국,경상남도,양산시,KR16008,162,234,260239,352229,35.35%
대한민국,경상남도,의령군,KR16009,9,11,30162,26800,-11.15%
대한민국,경상남도,함안군,KR16010,24,42,67207,64182,-4.50%
대한민국,경상남도,창녕군,KR16011,21,29,61714,61301,-0.67%
대한민국,경상남도,고성군,KR16012,23,28,57231,51361,-10.26%
대한민국,경상남도,남해군,KR16013,27,41,49328,42958,-12.91%
대한민국,경상남도,하동군,KR16014,13,25,51509,44785,-13.05%
대한민국,경상남도,산청군,KR16015,19,26,35591,34857,-2.06%
