CNTRY,admin1,admin2,hitech10,hitech20,pop10,pop20,rate
일본,Fukushima-ken,Yamatsuri-machi,3,3,6348,5392,-15.06%
일본,Fukushima-ken,Hanawa-machi,8,9,9884,8302,-16.01%
일본,Fukushima-ken,Samegawa-mura,4,6,3989,3049,-23.56%
일본,Fukushima-ken,Ishikawa-machi,22,24,17775,14644,-17.61%
일본,Fukushima-ken,Tamakawa-mura,7,10,7231,6392,-11.60%
일본,Fukushima-ken,Hirata-mura,4,4,6921,5826,-15.82%
일본,Fukushima-ken,Asakawa-machi,6,5,6888,6036,-12.37%
일본,Fukushima-ken,Furudono-machi,4,2,6030,4825,-19.98%
일본,Fukushima-ken,Miharu-machi,21,22,18191,17018,-6.45%
일본,Fukushima-ken,Ono-machi,7,8,11202,9471,-15.45%
일본,Fukushima-ken,Hirono-machi,5,13,5418,5412,-0.11%
일본,Fukushima-ken,Naraha-machi,0,16,7700,3710,-51.82%
일본,Fukushima-ken,Tomioka-machi,0,22,16001,2128,-86.70%
일본,Fukushima-ken,Kawauchi-mura,0,1,2820,2044,-27.52%
일본,Fukushima-ken,Okuma-machi,0,0,11515,847,-92.64%
일본,Fukushima-ken,Futaba-machi,0,0,6932,0,-100.00%
일본,Fukushima-ken,Namie-machi,0,4,20905,1923,-90.80%
일본,Fukushima-ken,Katsurao-mura,0,2,1531,420,-72.57%
일본,Fukushima-ken,Shinchi-machi,5,9,8224,7905,-3.88%
일본,Fukushima-ken,Iitate-mura,0,0,6209,1318,-78.77%
일본,Ibaraki-ken,Mito-shi,758,795,268750,270685,0.72%
일본,Ibaraki-ken,Hitachi-shi,245,232,193129,174508,-9.64%
일본,Ibaraki-ken,Tsuchiura-shi,314,370,143839,142074,-1.23%
일본,Ibaraki-ken,Koga-shi,255,336,142995,139344,-2.55%
일본,Ibaraki-ken,Ishioka-shi,228,238,79687,73061,-8.32%
일본,Ibaraki-ken,Yuki-shi,111,634,52494,50645,-3.52%
일본,Ibaraki-ken,Ryugasaki-shi,317,253,80334,76420,-4.87%
일본,Ibaraki-ken,Shimotsuma-shi,70,70,44987,42521,-5.48%
일본,Ibaraki-ken,Joso-shi,123,182,65320,60834,-6.87%
일본,Ibaraki-ken,Hitachiota-shi,52,53,56250,48602,-13.60%
일본,Ibaraki-ken,Takahagi-shi,41,42,31017,27699,-10.70%
일본,Ibaraki-ken,Kitaibaraki-shi,39,38,47026,41801,-11.11%
일본,Ibaraki-ken,Kasama-shi,368,262,79409,73173,-7.85%
일본,Ibaraki-ken,Toride-shi,168,186,109651,104524,-4.68%
일본,Ibaraki-ken,Ushiku-shi,506,656,81684,84651,3.63%
일본,Ibaraki-ken,Tsukuba-shi,700,891,214590,241656,12.61%
일본,Ibaraki-ken,Hitachinaka-shi,206,237,157060,156581,-0.30%
일본,Ibaraki-ken,Kashima-shi,87,111,66093,66950,1.30%
일본,Ibaraki-ken,Itako-shi,42,40,30534,27604,-9.60%
일본,Ibaraki-ken,Moriya-shi,93,138,62482,68421,9.51%
일본,Ibaraki-ken,Hitachiomiya-shi,48,35,45178,39267,-13.08%
일본,Ibaraki-ken,Naka-shi,63,67,54240,53502,-1.36%
일본,Ibaraki-ken,Chikusei-shi,227,492,108527,100753,-7.16%
일본,Ibaraki-ken,Bando-shi,148,129,56114,52265,-6.86%
일본,Ibaraki-ken,Inashiki-shi,202,243,46895,39039,-16.75%
일본,Ibaraki-ken,Kasumigaura-shi,49,57,43553,40087,-7.96%
일본,Ibaraki-ken,Sakuragawa-shi,36,59,45673,39122,-14.34%
일본,Ibaraki-ken,Kamisu-shi,144,171,94795,95454,0.70%
일본,Ibaraki-ken,Namegata-shi,52,58,37611,32185,-14.43%
일본,Ibaraki-ken,Hokota-shi,68,111,50156,45953,-8.38%
일본,Ibaraki-ken,Tsukubamirai-shi,91,139,44461,49872,12.17%
일본,Ibaraki-ken,Omitama-shi,48,64,52279,48870,-6.52%
일본,Ibaraki-ken,Ibaraki-machi,28,35,34513,31401,-9.02%
일본,Ibaraki-ken,Oarai-machi,16,15,18328,15715,-14.26%
일본,Ibaraki-ken,Shirosato-machi,20,22,21491,18097,-15.79%
일본,Ibaraki-ken,Tokai-mura,67,79,37438,37891,1.21%
일본,Ibaraki-ken,Daigo-machi,17,14,20073,15736,-21.61%
일본,Ibaraki-ken,Miho-mura,69,200,17299,14602,-15.59%
일본,Ibaraki-ken,Ami-machi,87,94,47940,48553,1.28%
일본,Ibaraki-ken,Kawachi-machi,46,23,10172,8231,-19.08%
일본,Ibaraki-ken,Yachiyo-machi,28,34,23106,21026,-9.00%
일본,Ibaraki-ken,Goka-machi,10,11,9410,8093,-14.00%
일본,Ibaraki-ken,Sakai-machi,28,32,25714,24201,-5.88%
일본,Ibaraki-ken,Tone-machi,40,43,17473,15340,-12.21%
일본,Tochigi-ken,Utsunomiya-shi,1529,1820,511739,518757,1.37%
일본,Tochigi-ken,Ashikaga-shi,253,224,154530,144746,-6.33%
일본,Tochigi-ken,Tochigi-shi,265,264,164024,155549,-5.17%
일본,Tochigi-ken,Sano-shi,209,225,121249,116228,-4.14%
일본,Tochigi-ken,Kanuma-shi,191,190,102348,94033,-8.12%
일본,Tochigi-ken,Nikko-shi,205,171,90066,77661,-13.77%
일본,Tochigi-ken,Oyama-shi,338,386,164454,166666,1.35%
일본,Tochigi-ken,Moka-shi,218,228,82289,78190,-4.98%
일본,Tochigi-ken,Ohtawara-shi,265,284,77729,72087,-7.26%
일본,Tochigi-ken,Yaita-shi,53,42,35343,31165,-11.82%
일본,Tochigi-ken,Nasushiobara-shi,230,223,117812,115210,-2.21%
일본,Tochigi-ken,Sakura-shi,219,211,44768,44513,-0.57%
일본,Tochigi-ken,Nasukarasuyama-shi,39,36,29206,24875,-14.83%
일본,Tochigi-ken,Shimotsuke-shi,165,210,59483,59507,0.04%
일본,Tochigi-ken,Kaminokawa-machi,51,49,31621,30806,-2.58%
일본,Tochigi-ken,Mashiko-machi,17,21,24348,21898,-10.06%
일본,Tochigi-ken,Motegi-machi,14,20,15018,11891,-20.82%
일본,Tochigi-ken,Ichikai-machi,10,10,12094,11262,-6.88%
일본,Tochigi-ken,Haga-machi,27,25,16030,14961,-6.67%
일본,Tochigi-ken,Mibu-machi,97,138,39605,39474,-0.33%
일본,Tochigi-ken,Nogi-machi,42,56,25720,24913,-3.14%
일본,Tochigi-ken,Shioya-machi,5,5,12560,10354,-17.56%
일본,Tochigi-ken,Takanezawa-machi,36,46,30436,29229,-3.97%
일본,Tochigi-ken,Nasu-machi,39,57,26765,23956,-10.50%
일본,Tochigi-ken,Nakagawa-machi,27,13,18446,15215,-17.52%
일본,Gumma-ken,Maebashi-shi,998,984,340291,332149,-2.39%
일본,Gumma-ken,Takasaki-shi,1233,1358,371302,372973,0.45%
일본,Gumma-ken,Kiryu-shi,237,243,121704,106445,-12.54%
일본,Gumma-ken,Isesaki-shi,403,450,207221,211850,2.23%
일본,Gumma-ken,Ota-shi,368,362,216465,223014,3.03%
일본,Gumma-ken,Numata-shi,88,75,51265,45337,-11.56%
일본,Gumma-ken,Tatebayashi-shi,110,129,78608,75309,-4.20%
일본,Gumma-ken,Shibukawa-shi,161,153,83330,74581,-10.50%
일본,Gumma-ken,Fujioka-shi,172,179,67975,63261,-6.93%
일본,Gumma-ken,Tomioka-shi,136,154,52070,47446,-8.88%
일본,Gumma-ken,Annaka-shi,89,81,61077,54907,-10.10%
일본,Gumma-ken,Midori-shi,96,106,51899,49648,-4.34%
일본,Gumma-ken,Shinto-mura,9,14,14370,14216,-1.07%
일본,Gumma-ken,Yoshioka-machi,16,12,19801,21792,10.06%
일본,Gumma-ken,Ueno-mura,2,2,1306,1128,-13.63%
일본,Gumma-ken,Kanna-machi,0,1,2352,1645,-30.06%
일본,Gumma-ken,Shimonita-machi,9,7,8911,6576,-26.20%
일본,Gumma-ken,Nammoku-mura,0,3,2423,1611,-33.51%
일본,Gumma-ken,Kanra-machi,14,32,13618,12491,-8.28%
일본,Gumma-ken,Nakanojo-machi,54,51,18216,15386,-15.54%
일본,Gumma-ken,Naganohara-machi,17,35,6017,5095,-15.32%
일본,Gumma-ken,Tsumagoi-mura,11,19,10183,8850,-13.09%
일본,Gumma-ken,Kusatsu-machi,12,13,7160,6049,-15.52%
일본,Gumma-ken,Takayama-mura,1,2,3911,3511,-10.23%
일본,Gumma-ken,Higashiagatsuma-machi,21,15,15622,12728,-18.53%
일본,Gumma-ken,Katashina-mura,6,4,4904,3993,-18.58%
일본,Gumma-ken,Kawaba-mura,10,3,3898,3480,-10.72%
일본,Gumma-ken,Showa-mura,4,2,7620,6953,-8.75%
일본,Gumma-ken,Minakami-machi,33,36,21345,17195,-19.44%
일본,Gumma-ken,Tamamura-machi,40,41,37536,36054,-3.95%
일본,Gumma-ken,Itakura-machi,17,14,15706,14083,-10.33%
일본,Gumma-ken,Meiwa-machi,9,8,11209,10882,-2.92%
일본,Gumma-ken,Chiyoda-machi,8,8,11473,10861,-5.33%
일본,Gumma-ken,Oizumi-machi,54,49,40257,42089,4.55%
일본,Gumma-ken,Ora-machi,27,26,27023,25522,-5.55%
일본,Saitama-ken,Saitama-shi,2201,3007,1222434,1324025,8.31%
일본,Saitama-ken,Kawagoe-shi,611,742,342670,354571,3.47%
일본,Saitama-ken,Kumagaya-shi,600,646,203180,194415,-4.31%
일본,Saitama-ken,Kawaguchi-shi,678,731,561506,594274,5.84%
일본,Saitama-ken,Gyoda-shi,121,114,85786,78617,-8.36%
일본,Saitama-ken,Chichibu-shi,185,179,66955,59674,-10.87%
일본,Saitama-ken,Tokorozawa-shi,430,540,341924,342464,0.16%
일본,Saitama-ken,Hanno-shi,101,118,83549,80361,-3.82%
일본,Saitama-ken,Kazo-shi,161,126,115002,111623,-2.94%
일본,Saitama-ken,Honjo-shi,130,161,81889,78569,-4.05%
일본,Saitama-ken,Higashimatsuyama-shi,207,327,90099,91791,1.88%
일본,Saitama-ken,Kasukabe-shi,335,384,237171,229792,-3.11%
일본,Saitama-ken,Sayama-shi,257,274,155727,148699,-4.51%
일본,Saitama-ken,Hanyu-shi,55,52,56204,52862,-5.95%
일본,Saitama-ken,Konosu-shi,159,155,119639,116828,-2.35%
일본,Saitama-ken,Fukaya-shi,159,186,144618,141268,-2.32%
일본,Saitama-ken,Ageo-shi,387,399,223926,226940,1.35%
일본,Saitama-ken,Soka-shi,235,269,243855,248304,1.82%
일본,Saitama-ken,Koshigaya-shi,479,478,326313,341621,4.69%
일본,Saitama-ken,Warabi-shi,104,92,71502,74283,3.89%
일본,Saitama-ken,Toda-shi,127,164,123079,140899,14.48%
일본,Saitama-ken,Iruma-shi,254,244,149872,145651,-2.82%
일본,Saitama-ken,Asaka-shi,117,129,129691,141083,8.78%
일본,Saitama-ken,Shiki-shi,88,101,69611,75346,8.24%
일본,Saitama-ken,Wako-shi,69,112,80745,83989,4.02%
일본,Saitama-ken,Niiza-shi,117,168,158777,166017,4.56%
일본,Saitama-ken,Okegawa-shi,143,117,74711,74748,0.05%
일본,Saitama-ken,Kuki-shi,312,285,154310,150582,-2.42%
일본,Saitama-ken,Kitamoto-shi,80,71,68888,65201,-5.35%
일본,Saitama-ken,Yashio-shi,122,157,82977,93363,12.52%
일본,Saitama-ken,Fujimi-shi,139,157,106736,111859,4.80%
일본,Saitama-ken,Misato-shi,114,147,131415,142145,8.16%
일본,Saitama-ken,Hasuda-shi,61,74,63309,61499,-2.86%
일본,Saitama-ken,Sakado-shi,120,115,101700,100275,-1.40%
일본,Saitama-ken,Satte-shi,76,64,54012,50066,-7.31%
일본,Saitama-ken,Tsurugashima-shi,91,99,69990,70117,0.18%
일본,Saitama-ken,Hidaka-shi,69,68,57473,54571,-5.05%
일본,Saitama-ken,Yoshikawa-shi,84,82,65298,71979,10.23%
일본,Saitama-ken,Fujimino-shi,105,130,105695,113597,7.48%
일본,Saitama-ken,Shiraoka-shi,147,166,50272,52214,3.86%
일본,Saitama-ken,Ina-machi,57,44,42494,44841,5.52%
일본,Saitama-ken,Miyoshi-machi,21,39,38706,38434,-0.70%
일본,Saitama-ken,Moroyama-machi,34,33,39054,35366,-9.44%
일본,Saitama-ken,Ogose-machi,14,13,12537,11029,-12.03%
일본,Saitama-ken,Namegawa-machi,13,20,17323,19732,13.91%
일본,Saitama-ken,Ranzan-machi,52,43,18887,17889,-5.28%
일본,Saitama-ken,Ogawa-machi,41,43,32913,28524,-13.34%
일본,Saitama-ken,Kawajima-machi,46,49,22147,19378,-12.50%
일본,Saitama-ken,Yoshimi-machi,51,98,21079,18192,-13.70%
일본,Saitama-ken,Hatoyama-machi,22,21,15305,13560,-11.40%
일본,Saitama-ken,Tokigawa-machi,8,8,12418,10540,-15.12%
일본,Saitama-ken,Yokoze-machi,7,8,9039,7979,-11.73%
일본,Saitama-ken,Minano-machi,18,15,10888,9302,-14.57%
일본,Saitama-ken,Nagatoro-machi,12,13,7908,6807,-13.92%
일본,Saitama-ken,Ogano-machi,31,42,13436,10928,-18.67%
일본,Saitama-ken,Higashichichibu-mura,1,4,3348,2709,-19.09%
일본,Saitama-ken,Misato-machi,15,8,11605,11039,-4.88%
일본,Saitama-ken,Kamikawa-machi,4,6,14470,13359,-7.68%
일본,Saitama-ken,Kamisato-machi,45,54,30998,30343,-2.11%
일본,Saitama-ken,Yorii-machi,29,36,35774,32374,-9.50%
일본,Saitama-ken,Miyashiro-machi,35,44,33641,34147,1.50%
일본,Saitama-ken,Sugito-machi,48,47,46923,43845,-6.56%
일본,Saitama-ken,Matsubushi-machi,22,23,31153,28266,-9.27%
일본,Chiba-ken,Chiba-shi,1511,1757,961749,974951,1.37%
일본,Chiba-ken,Choshi-shi,94,90,70210,58431,-16.78%
일본,Chiba-ken,Ichikawa-shi,387,534,473919,496676,4.80%
일본,Chiba-ken,Funabashi-shi,624,811,609040,642907,5.56%
일본,Chiba-ken,Tateyama-shi,328,268,49290,45153,-8.39%
일본,Chiba-ken,Kisarazu-shi,214,253,129312,136166,5.30%
일본,Chiba-ken,Matsudo-shi,610,804,484457,498232,2.84%
일본,Chiba-ken,Noda-shi,1049,1149,155491,152638,-1.83%
일본,Chiba-ken,Mobara-shi,218,261,93015,86782,-6.70%
일본,Chiba-ken,Narita-shi,208,275,128933,132906,3.08%
일본,Chiba-ken,Sakura-shi,369,460,172183,168743,-2.00%
일본,Chiba-ken,Togane-shi,146,130,61751,58219,-5.72%
일본,Chiba-ken,Asahi-shi,102,132,69058,63745,-7.69%
일본,Chiba-ken,Narashino-shi,178,218,164530,176197,7.09%
일본,Chiba-ken,Kashiwa-shi,622,873,404012,426468,5.56%
일본,Chiba-ken,Katsuura-shi,22,25,20788,16927,-18.57%
일본,Chiba-ken,Ichihara-shi,616,734,280416,269524,-3.88%
일본,Chiba-ken,Nagareyama-shi,123,185,163984,199849,21.87%
일본,Chiba-ken,Yachiyo-shi,204,324,189781,199498,5.12%
일본,Chiba-ken,Abiko-shi,195,226,134017,130510,-2.62%
일본,Chiba-ken,Kamogawa-shi,148,190,35766,32116,-10.21%
일본,Chiba-ken,Kamagaya-shi,107,110,107853,109932,1.93%
일본,Chiba-ken,Kimitsu-shi,121,155,89168,82206,-7.81%
일본,Chiba-ken,Futtsu-shi,66,75,48073,42465,-11.67%
일본,Chiba-ken,Urayasu-shi,168,229,164877,171362,3.93%
일본,Chiba-ken,Yotsukaido-shi,122,170,86726,93576,7.90%
일본,Chiba-ken,Sodegaura-shi,96,171,60355,63883,5.85%
일본,Chiba-ken,Yachimata-shi,215,235,73212,67455,-7.86%
일본,Chiba-ken,Inzai-shi,118,192,88176,102609,16.37%
일본,Chiba-ken,Shiroi-shi,72,113,60345,62441,3.47%
일본,Chiba-ken,Tomisato-shi,70,73,51087,49735,-2.65%
일본,Chiba-ken,Minamiboso-shi,58,47,42104,35831,-14.90%
일본,Chiba-ken,Sosa-shi,41,55,39814,35040,-11.99%
일본,Chiba-ken,Katori-shi,179,222,82866,72356,-12.68%
일본,Chiba-ken,Sammu-shi,83,85,56089,48444,-13.63%
일본,Chiba-ken,Isumi-shi,72,88,40962,35544,-13.23%
일본,Chiba-ken,Oamishirasato-shi,95,98,50113,48129,-3.96%
일본,Chiba-ken,Shisui-machi,20,26,21234,20745,-2.30%
일본,Chiba-ken,Sakae-machi,15,28,22580,20127,-10.86%
일본,Chiba-ken,Kozaki-machi,7,2,6454,5816,-9.89%
일본,Chiba-ken,Tako-machi,23,26,16002,13735,-14.17%
일본,Chiba-ken,Tonosho-machi,5,7,15154,13228,-12.71%
일본,Chiba-ken,Kujukuri-machi,33,32,18004,14639,-18.69%
일본,Chiba-ken,Shibayama-machi,10,38,7920,7033,-11.20%
일본,Chiba-ken,Yokoshibahikari-machi,33,30,24675,22075,-10.54%
일본,Chiba-ken,Ichinomiya-machi,39,40,12034,11897,-1.14%
일본,Chiba-ken,Mutsuzawa-machi,8,5,7340,6760,-7.90%
일본,Chiba-ken,Chosei-mura,272,234,14752,13803,-6.43%
일본,Chiba-ken,Shirako-machi,17,17,12151,10305,-15.19%
일본,Chiba-ken,Nagara-machi,5,7,8035,6721,-16.35%
일본,Chiba-ken,Chonan-machi,2,2,9073,7198,-20.67%
일본,Chiba-ken,Otaki-machi,18,8,10671,8885,-16.74%
일본,Chiba-ken,Onjuku-machi,15,26,7738,6874,-11.17%
일본,Chiba-ken,Kyonan-machi,17,15,8950,6993,-21.87%
일본,Tokyo-to,Chiyoda-ku,5195,5753,47115,66680,41.53%
일본,Tokyo-to,Chuo-ku,4465,4360,122762,169179,37.81%
일본,Tokyo-to,Minato-ku,4930,6015,205131,260486,26.99%
일본,Tokyo-to,Shinjuku-ku,3478,4123,326309,349385,7.07%
일본,Tokyo-to,Bunkyo-ku,1234,1465,206626,240069,16.19%
일본,Tokyo-to,Taito-ku,1154,1479,175928,211444,20.19%
일본,Tokyo-to,Sumida-ku,521,675,247606,272085,9.89%
일본,Tokyo-to,Koto-ku,607,943,460819,524310,13.78%
일본,Tokyo-to,Shinagawa-ku,1070,1381,365302,422488,15.65%
일본,Tokyo-to,Meguro-ku,665,1044,268330,288088,7.36%
일본,Tokyo-to,Ota-ku,979,1287,693373,748081,7.89%
일본,Tokyo-to,Setagaya-ku,1099,2060,877138,943664,7.58%
일본,Tokyo-to,Shibuya-ku,2575,4181,204492,243883,19.26%
일본,Tokyo-to,Nakano-ku,776,892,314750,344880,9.57%
일본,Tokyo-to,Suginami-ku,1062,1426,549569,591108,7.56%
일본,Tokyo-to,Toshima-ku,1473,1914,284678,301599,5.94%
일본,Tokyo-to,Kita-ku,557,666,335544,355213,5.86%
일본,Tokyo-to,Arakawa-ku,295,372,203296,217475,6.97%
일본,Tokyo-to,Itabashi-ku,635,821,535824,584483,9.08%
일본,Tokyo-to,Nerima-ku,872,1195,716124,752608,5.09%
일본,Tokyo-to,Adachi-ku,652,805,683426,695043,1.70%
일본,Tokyo-to,Katsushika-ku,482,561,442586,453093,2.37%
일본,Tokyo-to,Edogawa-ku,532,699,678967,697932,2.79%
일본,Tokyo-to,Hachioji-shi,873,910,580053,579355,-0.12%
일본,Tokyo-to,Tachikawa-shi,411,494,179668,183581,2.18%
일본,Tokyo-to,Musashino-shi,358,515,138734,150149,8.23%
일본,Tokyo-to,Mitaka-shi,279,295,186083,195391,5.00%
일본,Tokyo-to,Ome-shi,153,159,139339,133535,-4.17%
일본,Tokyo-to,Fuchu-shi,304,389,255506,262790,2.85%
일본,Tokyo-to,Akishima-shi,126,143,112297,113949,1.47%
일본,Tokyo-to,Chofu-shi,319,415,223593,242614,8.51%
일본,Tokyo-to,Machida-shi,682,762,426987,431079,0.96%
일본,Tokyo-to,Koganei-shi,162,196,118852,126074,6.08%
일본,Tokyo-to,Kodaira-shi,182,255,187035,198739,6.26%
일본,Tokyo-to,Hino-shi,330,394,180052,190435,5.77%
일본,Tokyo-to,Higashimurayama-shi,139,179,153557,151815,-1.13%
일본,Tokyo-to,Kokubunji-shi,190,233,120650,129242,7.12%
일본,Tokyo-to,Kunitachi-shi,163,171,75510,77130,2.15%
일본,Tokyo-to,Fussa-shi,110,83,59796,56414,-5.66%
일본,Tokyo-to,Komae-shi,82,102,78751,84772,7.65%
일본,Tokyo-to,Higashiyamato-shi,93,112,83068,83901,1.00%
일본,Tokyo-to,Kiyose-shi,76,76,74104,76208,2.84%
일본,Tokyo-to,Higashikurume-shi,105,135,116546,115271,-1.09%
일본,Tokyo-to,Musashimurayama-shi,59,70,70053,70829,1.11%
일본,Tokyo-to,Tama-shi,206,237,147648,146951,-0.47%
일본,Tokyo-to,Inagi-shi,150,186,84835,93151,9.80%
일본,Tokyo-to,Hamura-shi,65,69,57032,54326,-4.74%
일본,Tokyo-to,Akiruno-shi,210,159,80868,79292,-1.95%
일본,Tokyo-to,Nishitokyo-shi,209,275,196511,207388,5.54%
일본,Tokyo-to,Mizuho-machi,83,94,33497,31765,-5.17%
일본,Tokyo-to,Hinode-machi,17,17,16650,16958,1.85%
일본,Tokyo-to,Hinohara-mura,2,2,2558,2003,-21.70%
일본,Tokyo-to,Okutama-machi,3,3,6045,4750,-21.42%
일본,Tokyo-to,Oshima-machi,10,9,8461,7102,-16.06%
일본,Tokyo-to,Toshima-mura,0,0,341,327,-4.11%
일본,Tokyo-to,Niijima-mura,2,16,2883,2441,-15.33%
일본,Tokyo-to,Kouzushima-mura,2,0,1889,1855,-1.80%
일본,Tokyo-to,Miyake-mura,1,6,2676,2273,-15.06%
일본,Tokyo-to,Mikurajima-mura,0,0,348,323,-7.18%
일본,Tokyo-to,Hachijo-machi,15,41,8231,7042,-14.45%
일본,Tokyo-to,Aogashima-mura,0,0,201,169,-15.92%
일본,Tokyo-to,Ogasawara-mura,351,383,2785,2929,5.17%
일본,Kanagawa-ken,Yokohama-shi,6231,7875,3688773,3777491,2.41%
일본,Kanagawa-ken,Kawasaki-shi,1734,2261,1425512,1538262,7.91%
일본,Kanagawa-ken,Sagamihara-shi,1108,1121,717544,725493,1.11%
일본,Kanagawa-ken,Yokosuka-shi,513,441,418325,388078,-7.23%
일본,Kanagawa-ken,Hiratsuka-shi,350,411,260780,258422,-0.90%
일본,Kanagawa-ken,Kamakura-shi,504,602,174314,172710,-0.92%
일본,Kanagawa-ken,Fujisawa-shi,607,778,409657,436905,6.65%
일본,Kanagawa-ken,Odawara-shi,450,635,198327,188856,-4.78%
일본,Kanagawa-ken,Chigasaki-shi,317,366,235081,242389,3.11%
일본,Kanagawa-ken,Zushi-shi,99,128,58302,57060,-2.13%
일본,Kanagawa-ken,Miura-shi,32,32,48352,42069,-12.99%
일본,Kanagawa-ken,Hadano-shi,352,338,170145,162439,-4.53%
일본,Kanagawa-ken,Atsugi-shi,483,575,224420,223705,-0.32%
일본,Kanagawa-ken,Yamato-shi,305,319,228186,239169,4.81%
일본,Kanagawa-ken,Isehara-shi,165,176,101039,101780,0.73%
일본,Kanagawa-ken,Ebina-shi,174,183,127707,136516,6.90%
일본,Kanagawa-ken,Zama-shi,129,141,129436,132325,2.23%
일본,Kanagawa-ken,Minamiashigara-shi,142,110,44020,40841,-7.22%
일본,Kanagawa-ken,Ayase-shi,66,67,83167,83913,0.90%
일본,Kanagawa-ken,Hayama-machi,61,74,32766,31665,-3.36%
일본,Kanagawa-ken,Samukawa-machi,58,43,47672,48348,1.42%
일본,Kanagawa-ken,Oiso-machi,71,67,33032,31634,-4.23%
일본,Kanagawa-ken,Ninomiya-machi,71,78,29522,27564,-6.63%
일본,Kanagawa-ken,Nakai-machi,89,87,10010,9300,-7.09%
일본,Kanagawa-ken,Oi-machi,23,23,17972,17129,-4.69%
일본,Kanagawa-ken,Matsuda-machi,128,103,11676,10836,-7.19%
일본,Kanagawa-ken,Yamakita-machi,22,27,11764,9761,-17.03%
일본,Kanagawa-ken,Kaisei-machi,25,56,16369,18329,11.97%
일본,Kanagawa-ken,Hakone-machi,17,18,13853,11293,-18.48%
일본,Kanagawa-ken,Manazuru-machi,66,42,8212,6722,-18.14%
일본,Kanagawa-ken,Yugawara-machi,38,37,26848,23426,-12.75%
일본,Kanagawa-ken,Aikawa-machi,58,91,42089,39869,-5.27%
일본,Kanagawa-ken,Kiyokawa-mura,2,4,3459,3038,-12.17%
일본,Niigata-ken,Niigata-shi,1707,1917,811901,789275,-2.79%
일본,Niigata-ken,Nagaoka-shi,581,616,282674,266936,-5.57%
일본,Niigata-ken,Sanjo-shi,182,206,102292,94642,-7.48%
일본,Niigata-ken,Kashiwazaki-shi,146,134,91451,81526,-10.85%
일본,Niigata-ken,Shibata-shi,122,128,101202,94927,-6.20%
일본,Niigata-ken,Ojiya-shi,47,52,38600,34096,-11.67%
일본,Niigata-ken,Kamo-shi,41,42,29762,25441,-14.52%
일본,Niigata-ken,Tokamachi-shi,160,100,58911,49820,-15.43%
일본,Niigata-ken,Mitsuke-shi,67,60,41862,39237,-6.27%
일본,Niigata-ken,Murakami-shi,99,93,66427,57418,-13.56%
일본,Niigata-ken,Tsubame-shi,210,199,81876,77201,-5.71%
일본,Niigata-ken,Itoigawa-shi,73,97,47702,40765,-14.54%
일본,Niigata-ken,Myoko-shi,67,68,35457,30383,-14.31%
일본,Niigata-ken,Gosen-shi,63,59,54550,47625,-12.69%
일본,Niigata-ken,Joetsu-shi,425,482,203899,188047,-7.77%
일본,Niigata-ken,Agano-shi,38,41,45560,40696,-10.68%
일본,Niigata-ken,Sado-shi,158,307,62727,51492,-17.91%
일본,Niigata-ken,Uonuma-shi,72,77,40361,34483,-14.56%
일본,Niigata-ken,Minamiuonuma-shi,129,148,61624,54851,-10.99%
일본,Niigata-ken,Tainai-shi,25,35,31424,28509,-9.28%
일본,Niigata-ken,Seiro-machi,31,29,13724,14259,3.90%
일본,Niigata-ken,Yahiko-mura,21,15,8582,7705,-10.22%
일본,Niigata-ken,Tagami-machi,21,32,12791,11227,-12.23%
일본,Niigata-ken,Aga-machi,7,8,13303,9965,-25.09%
일본,Niigata-ken,Izumozaki-machi,3,4,4907,4113,-16.18%
일본,Niigata-ken,Yuzawa-machi,24,33,8396,7767,-7.49%
일본,Niigata-ken,Tsunan-machi,12,13,10881,8989,-17.39%
일본,Niigata-ken,Kariwa-mura,16,22,4800,4380,-8.75%
일본,Niigata-ken,Sekikawa-mura,6,7,6438,5144,-20.10%
일본,Niigata-ken,Awashimaura-mura,0,0,366,353,-3.55%
일본,Toyama-ken,Toyama-shi,1183,1420,421953,413938,-1.90%
일본,Toyama-ken,Takaoka-shi,447,470,176061,166393,-5.49%
일본,Toyama-ken,Uozu-shi,129,135,44959,40535,-9.84%
일본,Toyama-ken,Himi-shi,50,67,51726,43950,-15.03%
일본,Toyama-ken,Namerikawa-shi,60,67,33676,32349,-3.94%
일본,Toyama-ken,Kurobe-shi,147,146,41852,39638,-5.29%
일본,Toyama-ken,Tonami-shi,120,90,49410,48154,-2.54%
일본,Toyama-ken,Oyabe-shi,68,70,32067,28983,-9.62%
일본,Toyama-ken,Nanto-shi,144,154,54724,47937,-12.40%
일본,Toyama-ken,Imizu-shi,172,210,93588,90742,-3.04%
일본,Toyama-ken,Funahashi-mura,1,3,2967,3132,5.56%
일본,Toyama-ken,Kamiichi-machi,52,68,21965,19351,-11.90%
일본,Toyama-ken,Tateyama-machi,89,113,27466,24792,-9.74%
일본,Toyama-ken,Nyuzen-machi,52,49,27182,23839,-12.30%
일본,Toyama-ken,Asahi-machi,51,63,13651,11081,-18.83%
일본,Ishikawa-ken,Kanazawa-shi,1329,1465,462361,463254,0.19%
일본,Ishikawa-ken,Nanao-shi,146,129,57900,50300,-13.13%
일본,Ishikawa-ken,Komatsu-shi,288,299,108433,106216,-2.04%
일본,Ishikawa-ken,Wajima-shi,44,49,29858,24608,-17.58%
일본,Ishikawa-ken,Suzu-shi,35,43,16300,12929,-20.68%
