CNTRY,admin1,admin2,GRDP10,GRDP20,pop10,pop20,rate
한국,경기도,양주시,4315336,6847177,196706,230359,17.11%
한국,경기도,포천시,4384832,7208193,158658,147274,-7.18%
한국,경기도,여주시,3132712,4279906,109250,111897,2.42%
한국,경기도,연천군,1057575,1767565,45177,43516,-3.68%
한국,경기도,가평군,1252055,1836107,58890,62377,5.92%
한국,경기도,양평군,1414996,2099063,95833,118810,23.98%
한국,강원특별자치도,춘천시,4990390,8133318,269950,282765,4.75%
한국,강원특별자치도,원주시,5665531,9066919,314678,354376,12.62%
한국,강원특별자치도,강릉시,3705959,6092737,218503,213321,-2.37%
한국,강원특별자치도,동해시,2325739,3168301,95236,90593,-4.88%
한국,강원특별자치도,태백시,769678,1025466,50864,42719,-16.01%
한국,강원특별자치도,속초시,1230671,1848311,84302,82665,-1.94%
한국,강원특별자치도,삼척시,1555088,2606300,72046,65243,-9.44%
한국,강원특별자치도,홍천군,1791845,2427497,69893,69242,-0.93%
한국,강원특별자치도,횡성군,1104871,1753743,44254,46472,5.01%
한국,강원특별자치도,영월군,1007999,1300918,40407,38662,-4.32%
한국,강원특별자치도,평창군,1125454,1405949,43622,41681,-4.45%
한국,강원특별자치도,정선군,1202451,1267721,41045,36870,-10.17%
한국,강원특별자치도,철원군,1211548,2005574,48928,44699,-8.64%
한국,강원특별자치도,화천군,909707,1464125,24364,24857,2.02%
한국,강원특별자치도,양구군,623529,1016499,21843,22278,1.99%
한국,강원특별자치도,인제군,1052882,1717530,31842,31694,-0.46%
한국,강원특별자치도,고성군,722612,1290653,30112,26757,-11.14%
한국,강원특별자치도,양양군,732959,1065003,27929,27946,0.06%
한국,충청북도,충주시,4483785,7779481,208481,210186,0.82%
한국,충청북도,제천시,2249580,3185810,137264,133018,-3.09%
한국,충청북도,통합청주시,19945392,34817445,808915,844993,4.46%
한국,충청북도,보은군,766937,1167227,34956,32412,-7.28%
한국,충청북도,옥천군,1097438,1432414,54025,50527,-6.47%
한국,충청북도,영동군,854191,1129317,50523,47475,-6.03%
한국,충청북도,진천군,3963651,7936249,62094,83718,34.82%
한국,충청북도,괴산군,987528,1498780,36827,39393,6.97%
한국,충청북도,음성군,4170497,8284106,91093,93153,2.26%
한국,충청북도,단양군,896452,1165485,31817,29155,-8.37%
한국,충청북도,증평군,908817,1187456,33533,36807,9.76%
한국,충청남도,천안시,19807914,26111315,557673,658808,18.14%
한국,충청남도,공주시,2904316,3762849,124930,104545,-16.32%
한국,충청남도,보령시,2993237,4190195,107346,100229,-6.63%
한국,충청남도,아산시,21743735,29923576,265191,316129,19.21%
한국,충청남도,서산시,12437052,15843904,160468,175591,9.42%
한국,충청남도,논산시,2838788,4439047,127507,116675,-8.50%
한국,충청남도,계룡시,1006814,1719448,43088,42822,-0.62%
한국,충청남도,당진시,,11733515,144903,166249,14.73%
한국,충청남도,금산군,1954680,2359964,56555,51413,-9.09%
한국,충청남도,부여군,1728949,1980356,75029,65354,-12.90%
한국,충청남도,서천군,1581828,2292178,60085,51866,-13.68%
한국,충청남도,청양군,768858,1248541,32541,30948,-4.90%
한국,충청남도,홍성군,1785696,3512347,88078,100102,13.65%
한국,충청남도,예산군,1762757,3537211,87002,78084,-10.25%
한국,충청남도,태안군,1939723,2876612,63247,62214,-1.63%
한국,전북특별자치도,전주시,10177864,15656658,641525,657432,2.48%
한국,전북특별자치도,군산시,7986934,9357449,272601,267859,-1.74%
한국,전북특별자치도,익산시,6192055,8221353,307289,282276,-8.14%
한국,전북특별자치도,정읍시,2175921,3236457,122000,108508,-11.06%
한국,전북특별자치도,남원시,1477504,1782256,87775,80662,-8.10%
한국,전북특별자치도,김제시,2052814,3088783,94346,82450,-12.61%
한국,전북특별자치도,완주군,2881970,4781760,85119,91609,7.62%
한국,전북특별자치도,진안군,474824,670017,27543,25394,-7.80%
한국,전북특별자치도,무주군,484869,745672,25578,24036,-6.03%
한국,전북특별자치도,장수군,455208,553433,23386,22085,-5.56%
한국,전북특별자치도,임실군,667721,789158,30593,27314,-10.72%
